,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
56.72,144.0691332,159.6896435,161.510459,175.2114996
56.72,144.0691332,159.6896435,161.510459,175.2114996
56.76,145.6642935,159.684105,161.7695627,175.3096036
56.77929625,146.4519652,159.832651,161.9823616,175.2600503
56.8,147.2041914,160.0077575,162.1791272,175.1546535
56.84,148.5754661,160.2757985,162.3675374,174.7039178
56.88,150.0893044,160.5649588,162.0129024,173.6632322
56.92,151.7300177,160.8646697,161.2462186,172.1882099
56.96,153.5514664,161.1689685,160.3622803,170.5751583
57,155.6061929,161.4713969,159.5538154,169.0220107
57.04,157.9788552,161.7632023,158.9601315,167.6818037
57.08,160.8005393,161.894306,158.6299414,166.6036806
57.12,164.0863905,161.4149144,158.502968,165.7499959
57.16,166.8872026,160.7618462,158.3995154,164.8187559
57.2,167.5538072,161.331769,157.8748013,163.5946768
57.24,168.1795346,162.5652975,157.4413632,162.5111426
57.2786967,168.4584673,163.3574311,157.0337277,161.4303263
57.28,168.455217,163.3704578,157.0156788,161.3882836
57.32,168.2659016,163.7119984,156.3709577,159.9927033
57.36,168.0445806,164.046151,155.704671,158.5742401
57.4,167.8071339,164.3629934,155.0974701,157.2137683
57.44,167.5168872,164.6420311,154.6316455,155.9600326
57.48,167.1862025,164.9160704,154.4085181,154.9166448
57.52,166.7344274,165.1413675,154.5732344,154.2103685
57.56,166.2360554,165.3210022,154.7475873,153.5536438
57.6,165.7795876,165.4609997,154.8844176,152.9421443
57.64,165.3829316,165.5690447,154.9967392,152.3878502
57.68,165.0371604,165.6589084,155.0963869,151.8830897
57.72,164.7269739,165.7406345,155.1891335,151.4178747
57.76,164.4447512,165.817543,155.2763495,150.9877987
57.8,164.190776,165.8881083,155.3542945,150.6013892
57.81,164.1314495,165.9045024,155.3722286,150.5111172
57.84,163.96615,165.9517694,155.4255456,150.2533699
57.88,163.7618032,166.0132047,155.4923641,149.9389109
57.92,163.5632056,166.0705041,155.5412187,149.6806613
57.96,163.3578531,166.0905107,155.5482496,149.4828358
57.96,163.3578531,166.0905107,155.5482496,149.4828358
58,163.1928238,166.1023089,155.5485777,149.3023179
58.04,163.0675111,166.1106132,155.5510429,149.1541892
58.08,162.9780114,166.1175523,155.5554972,149.0472203
58.12,162.9152718,166.1241537,155.562277,148.9715436
