Rover_Displacement_Along_X_Axis,
Time (sec),Linear Displacement1 (mm)
43.63396586,4839.899045
43.64,4840.710787
43.68,4845.912959
43.72,4850.983908
43.76,4856.083554
43.8,4861.249479
43.84,4866.499973
43.88,4871.850852
43.92,4877.304827
43.96,4882.847164
44,4888.49402
44.04,4894.224576
44.08,4899.99736
44.12,4905.839568
44.16,4911.730887
44.2,4917.650809
44.24,4923.606545
44.28,4929.527801
44.32,4935.428383
44.36,4941.285817
44.4,4947.118467
44.44,4952.887656
44.48,4958.606921
44.52,4964.225051
44.56,4969.568937
44.6,4974.645427
44.64,4979.329188
44.68,4983.900863
44.72,4988.597982
44.76,4993.555641
44.78088542,4996.274813
44.8,4998.847118
44.84,5004.481192
44.88,5010.540985
44.92,5016.846043
44.93419573,5018.348195
44.96,5020.65004
45,5024.366327
45.04,5029.291601
45.08,5034.127765
45.08710518,5034.934244
45.12,5039.725456
45.16,5045.88116
45.2,5052.094336
45.24,5058.324128
45.28,5064.563292
45.31073825,5069.361809
45.32,5070.807422
45.36,5077.053464
45.36,5077.053464
45.4,5083.298684
45.4,5083.298684
